start_time,end_time,open,close,low,high,h_open,h_close,h_low,h_high,finish,atr_14,macd_13_34,st_signal,av2_open,av2_close,histo2,qqe,ema_h200,ema_200,fastk,fastd,xo_signal,macd_hists
2023-06-13 00:00:00,2023-06-13 00:02:59,0.000637,0.000634,0.000633,0.000638,0.0006374478790922345,0.0006355,0.000633,0.000638,True,2.376330890028296e-06,-3.298743271003926e-07,0,0.0006382504367891197,0.0006382155888737339,-11.327153220169919,-11.327153220169919,0.0006327821895100554,0.0006327226158601558,0.1156903406270781,22.932984732711436,0,-2
2023-06-13 00:03:00,2023-06-13 00:05:59,0.000633,0.000634,0.000633,0.000636,0.0006364739395461173,0.0006339999999999999,0.000633,0.0006364739395461173,True,2.420878683597701e-06,-4.6079481435214233e-07,0,0.0006382330128314268,0.0006381644647394388,-16.154034691314777,-16.154034691314777,0.0006327943070273683,0.0006327353261501045,9.011310216540854e-15,5.930218534238012,0,-2
2023-06-13 00:06:00,2023-06-13 00:08:59,0.000634,0.000635,0.000633,0.000636,0.0006352369697730586,0.0006345,0.000633,0.000636,True,2.4622444919121486e-06,-4.540753719219114e-07,0,0.0006381987387854328,0.0006380990722238311,-15.166204340595485,-15.166204340595485,0.0006328112790967477,0.0006327578602182627,4.919705511177807,1.6784652839349634,0,-2
2023-06-13 00:09:00,2023-06-13 00:11:59,0.000635,0.000636,0.000635,0.000637,0.0006348684848865293,0.00063575,0.000635,0.000637,True,2.429227028204134e-06,-3.5792784319086785e-07,0,0.0006381489055046319,0.0006380314711028033,-11.001089948952568,-11.001089948952568,0.0006328405201007602,0.0006327901203155934,20.691993427064304,8.537232979414037,0,-1
2023-06-13 00:12:00,2023-06-13 00:14:59,0.000637,0.000635,0.000635,0.000637,0.0006353092424432646,0.0006360000000000001,0.000635,0.000637,True,2.398567954760977e-06,-3.4483763204652265e-07,0,0.0006380901883037177,0.0006379643102126439,-10.851230944499598,-10.851230944499598,0.0006328719577116978,0.0006328121091681746,38.43786482195202,21.34985458673137,0,-2
2023-06-13 00:15:00,2023-06-13 00:17:59,0.000636,0.000635,0.000634,0.000637,0.0006356546212216323,0.0006355,0.000634,0.000637,True,2.4415273865637617e-06,-3.1689981427157216e-07,0,0.0006380272492581808,0.0006378945261827402,-10.751324941530953,-10.751324941530953,0.0006328981073862083,0.0006328338792262027,48.36386246075923,35.831240236591846,0,-2
2023-06-13 00:18:00,2023-06-13 00:20:59,0.000636,0.000636,0.000635,0.000638,0.0006355773106108162,0.00063625,0.000635,0.000638,True,2.4814182875234905e-06,-2.1152809927016844e-07,0,0.0006379608877204605,0.0006378283015267254,-6.78118287068574,-6.78118287068574,0.0006329314595515197,0.0006328653829154942,53.45731189269665,46.7530130584693,0,-1
2023-06-13 00:21:00,2023-06-13 00:23:59,0.000636,0.000635,0.000635,0.000636,0.0006359136553054081,0.0006355,0.000635,0.000636,True,2.375602695557521e-06,-1.9762147938974105e-07,0,0.000637894594623593,0.0006377601877647738,-7.34659505006524,-7.34659505006524,0.0006329570171679224,0.0006328866228864843,52.07475837396665,51.29864424247418,0,-1
2023-06-13 00:24:00,2023-06-13 00:26:59,0.000635,0.000636,0.000634,0.000637,0.0006357068276527041,0.0006355,0.000634,0.000637,True,2.4202025030176954e-06,-1.0600871785256416e-07,0,0.0006378273911941834,0.0006376910540292766,-4.129833870831959,-4.129833870831959,0.0006329823204796844,0.0006329176017632357,53.592373100139355,53.041481122267555,0,-1
2023-06-13 00:27:00,2023-06-13 00:29:59,0.000636,0.000638,0.000635,0.000639,0.0006356034138263521,0.000637,0.000635,0.000639,True,2.5330451813735733e-06,1.0047472102611627e-07,0,0.0006377592226117299,0.0006376318831875779,2.891557145962473,0.0,0.0006330222973903343,0.0006329681728899696,60.44145662605508,55.369529366720364,0,-1
2023-06-13 00:30:00,2023-06-13 00:32:59,0.000637,0.000638,0.000636,0.000639,0.000636301706913176,0.0006375,0.000636,0.000639,True,2.566399096989752e-06,2.3464798674074445e-07,0,0.0006376955528996539,0.0006375843927088644,7.572484490492094,7.572484490492094,0.0006330668516451568,0.0006330182408214127,77.4114720832307,63.81510060314171,0,-1
2023-06-13 00:33:00,2023-06-13 00:35:59,0.000638,0.000637,0.000637,0.000638,0.0006369008534565881,0.0006375,0.000637,0.000638,True,2.454513447204771e-06,2.470918787951919e-07,0,0.0006376399728042591,0.0006375464240972607,6.656888212275476,6.656888212275476,0.0006331109625740607,0.000633057860315727,94.38148754040633,77.4114720832307,0,-1
2023-06-13 00:36:00,2023-06-13 00:38:59,0.000637,0.000637,0.000637,0.000637,0.0006372004267282941,0.000637,0.000637,0.0006372004267282941,True,2.2791910581187164e-06,2.4844331227053006e-07,0,0.0006375931984507598,0.0006375127820919174,6.046490693464399,6.046490693464399,0.000633149659463871,0.0006330970855862173,95.85714074018618,89.21670012127441,0,-1
2023-06-13 00:39:00,2023-06-13 00:41:59,0.000637,0.000638,0.000637,0.000638,0.000637100213364147,0.0006375,0.000637,0.000638,True,2.1878202682530954e-06,3.107282619415815e-07,0,0.0006375529902713386,0.0006374862078057763,8.751534092551069,8.751534092551069,0.0006331929464343798,0.0006331458708042648,95.60391261243018,95.28084696434091,0,2
2023-06-13 00:42:00,2023-06-13 00:44:59,0.000639,0.000638,0.000637,0.000639,0.0006373001066820735,0.0006382499999999999,0.000637,0.000639,True,2.174404534806449e-06,3.4053338799715476e-07,0,0.0006375195990385574,0.0006374705261101299,10.55489635860885,10.55489635860885,0.0006332432653753313,0.0006331941705972573,95.60391261243018,95.68832198834885,1,2
2023-06-13 00:45:00,2023-06-13 00:47:59,0.000638,0.000636,0.000636,0.000638,0.0006377750533410367,0.000637,0.000636,0.000638,True,2.1619470680345632e-06,2.1030229445075576e-07,0,0.0006374950625743436,0.000637454951491361,3.7772092667184367,0.0,0.0006332806458193579,0.0006332220892977821,89.42453474698738,93.54411999061591,-1,1
2023-06-13 00:48:00,2023-06-13 00:50:59,0.000636,0.000636,0.000635,0.000636,0.0006373875266705183,0.0006357499999999999,0.000635,0.0006373875266705183,True,2.078950848889231e-06,1.1924950264427005e-07,0,0.0006374750070328523,0.0006374309917040877,-0.7412487945418391,-0.0,0.0006333052165077225,0.0006332497302002917,62.10712791648634,82.37852509196797,0,-2
2023-06-13 00:51:00,2023-06-13 00:53:59,0.000635,0.000635,0.000635,0.000636,0.000636568763335259,0.00063525,0.000635,0.000636568763335259,True,2.001882931111423e-06,-1.115135485852891e-08,0,0.00063745299936847,0.00063739716407257,-6.592638063878098,-6.592638063878098,0.0006333245675872476,0.0006332671458201893,30.14688211294634,60.55951492547336,0,-2
2023-06-13 00:54:00,2023-06-13 00:56:59,0.000635,0.000634,0.000634,0.000636,0.0006359093816676295,0.00063475,0.000634,0.000636,True,2.001748436032031e-06,-1.6111900269521334e-07,0,0.00063742508172052,0.0006373523689796766,-12.634899171254546,-12.634899171254546,0.0006333387509943396,0.0006332744379015805,7.135785904869626,33.12993197810077,0,-2
2023-06-13 00:57:00,2023-06-13 00:59:59,0.000635,0.000635,0.000634,0.000636,0.0006353296908338148,0.000635,0.000634,0.000636,True,2.001623547744025e-06,-1.7959802955892082e-07,0,0.0006373887253500983,0.0006373009617351538,-11.791653343117972,-11.791653343117972,0.000633355280835192,0.0006332916076737041,4.428296963174035,13.903654993663336,0,-2
2023-06-13 01:00:00,2023-06-13 01:02:59,0.000636,0.000635,0.000634,0.000636,0.0006351648454169074,0.00063525,0.000634,0.000636,True,2.001507580048019e-06,-1.8051417450649984e-07,0,0.000637344843542626,0.000637246416671386,-11.229489457693589,-11.229489457693589,0.000633374133762205,0.000633308606602324,9.215058161890063,6.926380343311243,0,-2
2023-06-13 01:03:00,2023-06-13 01:05:59,0.000636,0.000635,0.000635,0.000636,0.0006352074227084537,0.0006355,0.000635,0.000636,True,1.9299713243302974e-06,-1.6973952859796033e-07,0,0.000637295630107006,0.0006371914906834703,-10.854713534077334,-10.854713534077334,0.0006333952866600935,0.0006333254363873755,18.52147050570008,10.721608543588061,0,-2
2023-06-13 01:06:00,2023-06-13 01:08:59,0.000635,0.000635,0.000635,0.000636,0.0006353537113542268,0.00063525,0.000635,0.000636,True,1.8635448011638416e-06,-1.5161306237092092e-07,0,0.0006372435603952381,0.0006371349263761165,-10.604862918333161,-10.604862918333161,0.000633413741519197,0.0006333420987118792,22.275245876034322,16.67059151454149,0,-1
2023-06-13 01:09:00,2023-06-13 01:11:59,0.000635,0.000635,0.000635,0.000636,0.0006353018556771134,0.00063525,0.000635,0.000636,True,1.8018630296521327e-06,-1.292997290625798e-07,0,0.0006371892433856773,0.0006370774602996502,-10.43829584117038,-10.43829584117038,0.0006334320127478618,0.0006333585952421093,22.92438195123991,21.240366110991438,0,-1
2023-06-13 01:12:00,2023-06-13 01:14:59,0.000636,0.000635,0.000634,0.000636,0.0006352759278385567,0.00063525,0.000634,0.000636,True,1.8160156703912618e-06,-1.0507017954650639e-07,0,0.0006371333518426637,0.0006370196785324175,-10.327251123061863,-10.327251123061863,0.0006334501021732562,0.0006333749276277599,20.426954411144845,21.87552741280636,0,-1
2023-06-13 01:15:00,2023-06-13 01:17:59,0.000634,0.000634,0.000634,0.000635,0.0006352629639192783,0.00063425,0.000634,0.0006352629639192783,True,1.7577288367918876e-06,-1.4908948033870766e-07,0,0.0006370765151875406,0.0006369551836005316,-15.156250245614032,-15.156250245614032,0.0006334580613556118,0.0006333811472533543,13.617969607429893,18.989768656604884,0,-2
2023-06-13 01:18:00,2023-06-13 01:20:59,0.000634,0.000631,0.000631,0.000635,0.0006347564819596392,0.0006327500000000001,0.000631,0.000635,True,1.917891062735323e-06,-3.7215682108196884e-07,0,0.0006370158493940361,0.000636875554255527,-23.16355297639523,-23.16355297639523,0.0006334510159689889,0.0006333574542458582,6.808984803714943,13.617969607429893,0,-2
2023-06-13 01:21:00,2023-06-13 01:23:59,0.000631,0.00063,0.00063,0.000633,0.0006337532409798196,0.0006309999999999999,0.00063,0.0006337532409798196,True,1.995184558254226e-06,-5.63218472240008e-07,0,0.0006369457018247815,0.000636772548961566,-29.171815565243783,-29.171815565243783,0.000633426627750392,0.0006333240467409243,-7.105427357601002e-15,6.808984803714943,0,-2
2023-06-13 01:24:00,2023-06-13 01:26:59,0.00063,0.000633,0.00063,0.000633,0.0006323766204899097,0.0006315,0.00063,0.000633,True,2.066957089807493e-06,-4.498039324514097e-07,0,0.0006368591253931737,0.0006366552768761897,-20.9965640472005,-20.9965640472005,0.000633407457325015,0.0006333208223952434,5.418315771758856,4.0757668584912645,0,-1
2023-06-13 01:27:00,2023-06-13 01:29:59,0.000632,0.000633,0.000632,0.000635,0.0006319383102449548,0.000633,0.000632,0.000635,True,2.133603011964106e-06,-3.496082078413606e-07,0,0.0006367572011346818,0.0006365378686520173,-15.546396368504979,-15.546396368504979,0.0006334034030232735,0.0006333176301326042,30.549279490192657,11.989198420650503,0,-1
2023-06-13 01:30:00,2023-06-13 01:32:59,0.000633,0.000632,0.000631,0.000635,0.0006324691551224774,0.0006327500000000001,0.000631,0.000635,True,2.2669170825380978e-06,-3.304580751164949e-07,0,0.0006366475348933496,0.0006364194435242247,-14.351810267892311,-14.351810267892311,0.0006333969015006539,0.0006333045193850161,53.9390726690953,29.968889310348942,0,-2
2023-06-13 01:33:00,2023-06-13 01:35:59,0.000632,0.000631,0.00063,0.000632,0.0006326095775612388,0.0006312500000000001,0.00063,0.0006326095775612388,True,2.247851576642515e-06,-3.640266770223455e-07,0,0.0006365334892087872,0.0006362907387081804,-15.61182885964736,-15.61182885964736,0.0006333755392966673,0.0006332815888438716,62.527648583092564,49.00533358079351,0,-2
2023-06-13 01:36:00,2023-06-13 01:38:59,0.000631,0.000632,0.00063,0.000633,0.0006319297887806194,0.0006315,0.00063,0.000633,True,2.3015764640251898e-06,-2.924352065760785e-07,0,0.0006364121139584839,0.0006361565389390603,-12.751867788565654,-12.751867788565654,0.0006333568772141134,0.000633268836716072,54.29907735379974,56.92193286866254,0,-1
2023-06-13 01:39:00,2023-06-13 01:41:59,0.000631,0.000632,0.000631,0.000633,0.0006317148943903097,0.00063175,0.000631,0.000633,True,2.2800352880233865e-06,-2.2416282442246186e-07,0,0.0006362843264487722,0.000636020648973739,-10.845227074511186,-10.845227074511186,0.0006333408883861122,0.000633256211475116,50.77129623645727,55.86600739111652,0,-1
2023-06-13 01:42:00,2023-06-13 01:44:59,0.000633,0.000637,0.000633,0.000639,0.0006317324471951549,0.0006355,0.000633,0.000639,True,2.617175624593149e-06,1.8212149789646735e-07,0,0.0006361524877112556,0.0006359100896427313,0.6879867503959218,0.0,0.0006333623720837628,0.0006332934631022292,70.09773788403449,58.3893704914305,0,-1
2023-06-13 01:45:00,2023-06-13 01:47:59,0.000638,0.000641,0.000638,0.000642,0.0006336162235975775,0.0006397499999999999,0.000638,0.000642,True,2.7873773656936397e-06,7.198307801237881e-07,1,0.0006360312886769935,0.000635849391372571,11.36295300441919,11.36295300441919,0.0006334259305704916,0.0006333701450614111,86.52867872822684,69.13257094957287,0,2
2023-06-13 01:48:00,2023-06-13 01:50:59,0.000641,0.00064,0.00064,0.000642,0.0006366831117987886,0.00064075,0.00064,0.000642,True,2.731136125286947e-06,9.743358959548365e-07,0,0.0006359403400247823,0.0006358352265844169,15.918584680446443,15.918584680446443,0.000633498806883223,0.0006334361137672677,100.0,85.54213887075377,1,2
2023-06-13 01:51:00,2023-06-13 01:53:59,0.00064,0.000639,0.000635,0.000641,0.0006387165558993943,0.0006387500000000001,0.000635,0.000641,True,2.96462640205216e-06,1.032723335909574e-06,0,0.0006358877833045996,0.0006358440729924779,16.447497691129456,16.447497691129456,0.0006335510575610019,0.0006334914758193347,93.80243730156882,93.44370534326522,0,2
2023-06-13 01:54:00,2023-06-13 01:56:59,0.000638,0.000641,0.000637,0.000641,0.0006387332779496972,0.00063925,0.000637,0.000641,True,3.038581659048434e-06,1.1657214247105066e-06,0,0.0006358659281485388,0.0006358744061131128,18.901387961368997,18.901387961368997,0.0006336077634559173,0.0006335661875027244,88.51681467609247,94.1064173258871,0,2
2023-06-13 01:57:00,2023-06-13 01:59:59,0.00064,0.000639,0.000639,0.000641,0.0006389916389748485,0.00063975,0.000639,0.000641,True,2.9643972548306843e-06,1.064797306289354e-06,0,0.0006358701671308259,0.0006359248782879308,15.891385817806679,15.891385817806679,0.0006336688802374505,0.0006336202552887669,84.15144288127637,88.82356495297921,0,2
2023-06-13 02:00:00,2023-06-13 02:02:59,0.000639,0.000638,0.000637,0.00064,0.0006393708194874243,0.0006385,0.000637,0.00064,True,2.9669403080570693e-06,8.839995909542851e-07,0,0.0006358975227093783,0.0006359822834596114,11.853670213627574,11.853670213627574,0.000633716951080859,0.0006336638348381325,82.1693800918551,84.94587921640796,0,1
2023-06-13 02:03:00,2023-06-13 02:05:59,0.000637,0.000638,0.000637,0.00064,0.0006389354097437121,0.000638,0.000637,0.00064,True,2.9693017146244265e-06,7.26806762481135e-07,0,0.0006359399030844949,0.0006360413226362202,9.161859810841506,9.161859810841506,0.0006337595684830395,0.0006337069807601411,76.84900966180821,81.05661087831322,0,1
2023-06-13 02:06:00,2023-06-13 02:08:59,0.000637,0.000638,0.000637,0.000638,0.0006384677048718561,0.0006375,0.000637,0.0006384677048718561,True,2.8286373064369694e-06,5.907462298738185e-07,0,0.0006359906128603575,0.0006360978126731303,7.367319542317453,7.367319542317453,0.0006337967867070889,0.000633749697369493,67.62182481735411,75.54673819033914,0,1
2023-06-13 02:09:00,2023-06-13 02:11:59,0.000637,0.000637,0.000637,0.000638,0.000637983852435928,0.00063725,0.000637,0.000638,True,2.6980203559771877e-06,4.0492130147824074e-07,0,0.0006360442127667439,0.0006361501929068339,3.489966294811886,3.489966294811886,0.0006338311470383616,0.0006337820386891995,61.293797987784565,68.58821082231562,0,1
2023-06-13 02:12:00,2023-06-13 02:14:59,0.000638,0.000637,0.000637,0.000638,0.000637616926217964,0.0006375,0.000637,0.000638,True,2.5767331876931047e-06,2.6317566042502873e-07,0,0.0006360972028367889,0.0006362006933453289,0.9050641298081743,0.0,0.0006338676530379799,0.0006338140582047298,58.22196370533112,62.37919550348992,0,1
2023-06-13 02:15:00,2023-06-13 02:17:59,0.000638,0.000636,0.000634,0.000638,0.000637558463108982,0.0006365,0.000634,0.000638,True,2.678395102857882e-06,8.729161489213328e-08,0,0.0006361489480910589,0.0006362425062576582,-3.5196508627049425,-0.0,0.0006338938455450647,0.0006338358088693593,53.45335072750823,57.65637080687463,0,1
2023-06-13 02:18:00,2023-06-13 02:20:59,0.000635,0.000638,0.000635,0.000638,0.000637029231554491,0.0006365,0.000635,0.000638,True,2.7013668812251737e-06,1.0280464929936211e-07,0,0.0006361957271743585,0.000636277192538496,-0.26613156720773645,-0.0,0.0006339197774301884,0.0006338772436069776,48.64096292274555,53.43875911852829,0,2
2023-06-13 02:21:00,2023-06-13 02:23:59,0.000637,0.000637,0.000636,0.000638,0.0006367646157772456,0.000637,0.000636,0.000638,True,2.6512692468519508e-06,3.5483121356722516e-08,0,0.0006362364598564272,0.0006363094605192002,-0.9437673754596574,-0.0,0.0006339504264109826,0.0006339083158098933,32.71477299304783,44.93636221443386,0,1
